ECG,EMG,foot GSR,hand GSR,HR,marker,RESP
0.117,0.35475,6.39,5.293,59.0,16.63,48.77
-0.139,0.305625,6.386,5.291,56.0,16.6,48.7
-0.142,0.372875,6.385,5.288,56.0,16.63,48.58
-0.143,0.3755,6.381,5.285,56.0,16.64,48.39
-0.152,0.2305,6.379,5.283,56.0,16.6,48.27
-0.155,0.16575,6.376,5.28,56.0,16.59,48.2
-0.156,0.362625,6.375,5.278,56.0,16.63,48.15
-0.155,0.271875,6.37,5.273,56.0,16.62,48.19
-0.148,0.25375,6.369,5.271,56.0,16.59,48.19
-0.096,0.119125,6.366,5.269,56.0,16.6,48.12
-0.153,0.160625,6.364,5.266,56.0,16.63,48.14
-0.141,0.372875,6.362,5.264,56.0,16.62,48.19
0.2,0.27975,6.36,5.26,56.0,16.62,48.15
-0.06,0.196875,6.357,5.259,56.0,16.62,48.15
0.015,0.199375,6.354,5.256,56.0,16.62,48.19
0.153,0.227875,6.353,5.253,56.0,16.62,48.21
0.223,0.199375,6.35,5.251,56.0,16.62,48.19
-0.093,0.227875,6.348,5.248,56.0,16.62,48.18
-0.143,0.163125,6.344,5.245,56.0,16.62,48.21
-0.133,0.227875,6.343,5.243,56.0,16.62,48.18
-0.142,0.160625,6.34,5.24,56.0,16.6,48.03
-0.148,0.227875,6.338,5.238,56.0,16.6,47.99
-0.15,0.328875,6.335,5.235,56.0,16.59,48.01
-0.151,0.22525,6.333,5.233,56.0,16.59,48.01
-0.146,0.227875,6.33,5.229,56.0,16.58,48.04
-0.094,0.2745,6.328,5.228,56.0,16.59,48.07
-0.14,0.227875,6.325,5.224,56.0,16.59,48.08
-0.144,0.328875,6.323,5.223,56.0,16.57,48.13
0.217,0.36775,6.319,5.219,56.0,16.56,48.28
-0.054,0.29525,6.318,5.216,56.0,16.58,48.53
0.018,0.1165,6.315,5.214,56.0,16.6,48.72
0.16,0.02325,6.313,5.213,56.0,16.59,48.94
0.253,0.31075,6.31,5.211,56.0,16.59,49.17
-0.065,0.362625,6.308,5.207,56.0,16.59,49.38
-0.128,0.227875,6.304,5.206,57.0,16.59,49.59
-0.119,0.1165,6.303,5.203,57.0,16.58,49.77
-0.121,0.2745,6.3,5.201,57.0,16.6,49.91
-0.12,0.313375,6.299,5.197,57.0,16.6,50.08
-0.116,0.29525,6.295,5.196,57.0,16.6,50.23
-0.079,0.227875,6.294,5.192,57.0,16.62,50.4
-0.089,0.25375,6.29,5.189,57.0,16.62,50.57
