ECG,EMG,foot GSR,hand GSR,HR,marker,RESP
0.14,0.249,1.937,4.003,78.0,11.38,35.5
-0.037,0.228,1.937,4.002,78.0,11.38,35.51
-0.043,0.228,1.934,4.001,78.0,11.38,35.49
-0.035,0.249,1.934,4.0,78.0,11.38,35.46
-0.046,0.249,1.934,3.997,78.0,11.38,35.35
-0.063,0.228,1.934,3.997,78.0,11.38,35.34
-0.076,0.228,1.934,3.995,78.0,11.38,35.38
-0.066,0.352,1.932,3.995,78.0,11.38,35.4
0.224,0.767,1.932,3.992,78.0,11.38,35.44
-0.042,0.249,1.933,3.991,78.0,11.38,35.45
-0.009,0.228,1.932,3.99,78.0,11.38,35.54
0.119,0.249,1.93,3.99,76.0,11.38,35.54
0.117,0.249,1.929,3.988,76.0,11.38,35.62
-0.032,0.269,1.929,3.987,76.0,11.38,35.72
-0.053,0.228,1.929,3.987,76.0,11.38,35.82
-0.044,0.269,1.928,3.985,76.0,11.38,35.87
-0.028,0.228,1.925,3.982,76.0,11.38,35.96
-0.044,0.29,1.925,3.982,76.0,11.38,35.96
-0.084,0.269,1.927,3.98,76.0,11.38,36.07
0.209,0.829,1.925,3.98,76.0,11.38,36.19
-0.058,0.331,1.924,3.978,76.0,11.38,36.3
-0.021,0.269,1.924,3.978,76.0,11.38,36.4
0.04,0.269,1.924,3.975,81.0,11.38,36.47
0.15,0.269,1.924,3.975,81.0,11.38,36.56
0.024,0.249,1.922,3.974,81.0,11.38,36.66
-0.053,0.249,1.922,3.973,81.0,11.38,36.77
-0.037,0.269,1.922,3.971,81.0,11.38,36.84
-0.009,0.249,1.922,3.97,81.0,11.37,36.89
-0.051,0.29,1.922,3.97,81.0,11.38,36.94
-0.084,0.331,1.919,3.968,81.0,11.38,36.98
0.225,0.767,1.919,3.966,81.0,11.38,36.98
-0.044,0.331,1.919,3.964,81.0,11.38,36.94
-0.016,0.249,1.919,3.963,81.0,11.38,36.88
0.055,0.228,1.918,3.96,85.0,11.38,36.8
0.149,0.311,1.917,3.96,85.0,11.38,36.73
-0.012,0.29,1.917,3.958,85.0,11.38,36.66
-0.052,0.249,1.917,3.958,85.0,11.38,36.61
-0.037,0.228,1.917,3.955,85.0,11.38,36.52
-0.023,0.29,1.917,3.954,85.0,11.37,36.4
-0.038,0.29,1.914,3.953,85.0,11.37,36.29
-0.081,0.311,1.914,3.953,85.0,11.37,36.2
0.228,0.787,1.914,3.95,85.0,11.38,36.13
-0.047,0.249,1.914,3.949,85.0,11.37,36.05
-0.022,0.249,1.914,3.948,85.0,11.37,35.99
0.04,0.207,1.912,3.945,83.0,11.37,35.94
0.159,0.249,1.912,3.943,83.0,11.38,35.92
0.035,0.228,1.912,3.943,83.0,11.37,35.92
-0.043,0.228,1.91,3.94,83.0,11.37,35.92
-0.031,0.249,1.909,3.94,83.0,11.37,35.9
-0.033,0.269,1.909,3.939,83.0,11.37,35.82
-0.005,0.228,1.909,3.936,83.0,11.37,35.73
-0.044,0.249,1.909,3.935,83.0,11.37,35.7
-0.073,0.311,1.909,3.933,83.0,11.37,35.66
0.246,0.746,1.907,3.933,83.0,11.37,35.65
-0.028,0.29,1.907,3.93,83.0,11.37,35.62
-0.003,0.249,1.907,3.929,83.0,11.37,35.59
0.066,0.249,1.907,3.928,78.0,11.37,35.58
0.175,0.249,1.904,3.926,78.0,11.37,35.57
0.016,0.29,1.904,3.926,78.0,11.37,35.55
-0.035,0.207,1.904,3.925,78.0,11.37,35.53
-0.025,0.249,1.904,3.923,78.0,11.37,35.52
-0.033,0.269,1.904,3.921,78.0,11.37,35.46
-0.042,0.269,1.902,3.92,78.0,11.37,35.42
-0.004,0.269,1.902,3.92,78.0,11.37,35.38
-0.053,0.269,1.902,3.919,78.0,11.37,35.37
-0.052,0.352,1.902,3.916,78.0,11.37,35.36
0.239,0.684,1.9,3.915,78.0,11.37,35.36
-0.028,0.249,1.899,3.915,78.0,11.37,35.37
0.004,0.186,1.899,3.915,78.0,11.37,35.37
0.09,0.228,1.899,3.915,72.0,11.37,35.38
0.17,0.269,1.899,3.913,72.0,11.37,35.38
-0.01,0.249,1.898,3.913,72.0,11.37,35.39
-0.036,0.249,1.897,3.913,72.0,11.37,35.4
-0.032,0.249,1.897,3.91,72.0,11.37,35.45
-0.044,0.269,1.897,3.91,72.0,11.37,35.46
-0.025,0.249,1.897,3.908,72.0,11.37,35.51
-0.056,0.228,1.897,3.908,72.0,11.37,35.58
-0.086,0.269,1.894,3.908,72.0,11.37,35.67
0.228,0.849,1.894,3.906,72.0,11.37,35.75
-0.044,0.29,1.894,3.906,72.0,11.37,35.86
-0.017,0.29,1.894,3.905,72.0,11.37,35.97
0.055,0.249,1.893,3.905,76.0,11.37,36.07
0.155,0.269,1.892,3.905,76.0,11.37,36.15
-0.009,0.249,1.892,3.905,76.0,11.37,36.24
-0.057,0.29,1.892,3.903,76.0,11.37,36.34
-0.042,0.269,1.892,3.903,76.0,11.37,36.4
-0.049,0.249,1.892,3.903,76.0,11.37,36.46
-0.025,0.269,1.89,3.903,76.0,11.37,36.54
-0.086,0.228,1.889,3.903,76.0,11.37,36.63
0.127,0.725,1.889,3.903,76.0,11.37,36.71
0.02,0.539,1.889,3.9,76.0,11.37,36.79
-0.038,0.311,1.889,3.9,76.0,11.37,36.84
0.089,0.269,1.887,3.9,80.0,11.37,36.9
0.131,0.269,1.887,3.9,80.0,11.37,36.94
0.081,0.207,1.887,3.898,80.0,11.37,36.92
-0.062,0.207,1.887,3.898,80.0,11.37,36.87
-0.053,0.249,1.887,3.895,80.0,11.37,36.77
-0.056,0.228,1.884,3.894,80.0,11.37,36.53
-0.045,0.228,1.884,3.893,80.0,11.37,36.52
-0.059,0.249,1.884,3.892,80.0,11.37,36.45
-0.1,0.29,1.884,3.891,80.0,11.37,36.36
0.212,0.704,1.883,3.889,80.0,11.37,36.28
-0.071,0.373,1.882,3.888,80.0,11.37,36.22
-0.048,0.228,1.882,3.886,80.0,11.37,36.16
0.01,0.228,1.882,3.886,80.0,11.37,36.11
0.125,0.29,1.882,3.883,80.0,11.37,36.03
