ECG,EMG,foot GSR,hand GSR,HR,marker,RESP
-0.094,0.704,5.469,16.545,81.0,10.01,37.03
-0.089,0.642,5.47,16.564,81.0,10.01,36.86
-0.107,0.331,5.469,16.581,81.0,10.0,36.67
-0.097,0.684,5.469,16.593,81.0,10.0,36.38
-0.073,0.435,5.469,16.607,81.0,10.0,36.28
-0.149,0.642,5.469,16.62,81.0,10.0,36.24
0.117,0.539,5.469,16.628,81.0,10.0,36.29
-0.057,0.249,5.467,16.631,81.0,10.0,36.24
0.034,0.663,5.467,16.631,81.0,10.0,36.22
0.216,0.311,5.467,16.633,81.0,10.01,36.2
0.012,0.787,5.464,16.636,81.0,10.01,36.24
-0.106,0.601,5.464,16.636,82.0,10.01,36.3
-0.097,0.414,5.464,16.632,82.0,10.01,36.23
-0.117,0.58,5.463,16.624,82.0,10.01,36.22
-0.133,0.539,5.462,16.614,82.0,10.01,36.12
-0.129,0.58,5.462,16.603,82.0,10.01,36.07
-0.089,0.559,5.462,16.593,82.0,10.01,36.08
-0.164,0.539,5.46,16.591,82.0,10.01,36.19
0.084,0.373,5.459,16.599,82.0,10.01,36.28
-0.113,0.622,5.459,16.614,82.0,10.01,36.41
-0.017,0.373,5.459,16.62,82.0,10.0,36.57
0.152,0.725,5.458,16.626,82.0,10.0,36.73
0.023,0.394,5.457,16.626,82.0,10.0,36.9
-0.145,0.622,5.457,16.626,76.0,10.0,37.08
-0.144,0.456,5.457,16.624,76.0,10.0,37.26
-0.16,0.601,5.455,16.622,76.0,10.01,37.45
-0.181,0.352,5.454,16.619,76.0,10.02,37.5
-0.131,0.559,5.454,16.618,76.0,10.04,37.61
-0.183,0.414,5.454,16.617,76.0,10.04,37.83
0.088,0.601,5.452,16.614,76.0,10.05,38.1
-0.208,0.249,5.452,16.613,76.0,10.05,38.28
-0.057,0.746,5.452,16.613,76.0,10.04,38.42
0.098,0.352,5.452,16.614,76.0,10.04,38.56
0.125,0.663,5.449,16.614,76.0,10.05,38.64
-0.111,0.166,5.449,16.612,82.0,10.05,38.71
-0.117,0.539,5.449,16.608,82.0,10.05,38.68
-0.113,0.414,5.449,16.604,82.0,10.04,38.61
-0.127,0.642,5.447,16.599,82.0,10.04,38.39
-0.082,0.414,5.447,16.598,82.0,10.04,38.14
-0.116,0.601,5.447,16.597,82.0,10.04,38.03
0.087,0.622,5.447,16.596,82.0,10.04,37.95
-0.087,0.539,5.444,16.597,82.0,10.04,37.85
-0.016,0.684,5.444,16.595,82.0,10.04,37.66
0.13,0.663,5.444,16.587,82.0,10.04,37.53
0.201,0.58,5.444,16.582,82.0,10.04,37.37
-0.055,0.58,5.442,16.579,82.0,10.04,37.23
-0.071,0.539,5.442,16.577,83.0,10.04,37.13
-0.071,0.622,5.442,16.574,83.0,10.04,36.98
-0.088,0.725,5.44,16.572,83.0,10.04,36.81
-0.06,0.456,5.439,16.57,83.0,10.04,36.59
-0.072,0.601,5.439,16.567,83.0,10.04,36.53
-0.046,0.29,5.438,16.562,83.0,10.05,36.52
0.077,0.663,5.438,16.56,83.0,10.04,36.49
-0.017,0.331,5.437,16.556,83.0,10.05,36.4
0.102,0.601,5.437,16.554,83.0,10.05,36.38
0.235,0.58,5.437,16.552,83.0,10.05,36.34
-0.027,0.497,5.434,16.551,83.0,10.04,36.3
-0.077,0.642,5.434,16.551,82.0,10.05,36.3
-0.074,0.394,5.432,16.549,82.0,10.05,36.3
-0.095,0.642,5.432,16.546,82.0,10.05,36.28
-0.068,0.394,5.432,16.546,82.0,10.05,36.12
-0.078,0.58,5.429,16.546,82.0,10.04,36.07
-0.066,0.642,5.429,16.547,82.0,10.05,36.1
0.066,0.269,5.429,16.547,82.0,10.04,36.17
-0.023,0.642,5.428,16.546,82.0,10.05,36.17
0.097,0.311,5.427,16.546,82.0,10.05,36.21
0.233,0.746,5.427,16.544,82.0,10.05,36.21
-0.024,0.249,5.424,16.54,82.0,10.04,36.2
-0.074,0.746,5.424,16.537,84.0,10.05,36.21
-0.075,0.228,5.423,16.532,84.0,10.05,36.23
-0.097,0.642,5.422,16.527,84.0,10.04,36.26
-0.07,0.228,5.422,16.526,84.0,10.04,36.13
-0.089,0.394,5.422,16.526,84.0,10.05,36.13
-0.041,0.684,5.419,16.525,84.0,10.05,36.32
0.028,0.456,5.419,16.524,84.0,10.04,36.57
-0.032,0.684,5.417,16.522,84.0,10.05,36.7
0.089,0.311,5.417,16.521,84.0,10.05,36.89
0.201,0.663,5.417,16.52,84.0,10.05,37.06
-0.05,0.684,5.417,16.517,84.0,10.05,37.21
-0.097,0.331,5.417,16.516,84.0,10.05,37.4
-0.097,0.601,5.417,16.514,84.0,10.05,37.56
-0.102,0.456,5.414,16.511,84.0,10.05,37.68
-0.071,0.704,5.414,16.509,84.0,10.05,37.72
-0.143,0.394,5.413,16.508,84.0,10.05,37.86
0.114,0.787,5.412,16.508,84.0,10.04,38.04
-0.06,0.642,5.412,16.508,84.0,10.05,38.21
0.052,0.435,5.409,16.505,84.0,10.05,38.24
0.225,0.58,5.409,16.504,84.0,10.05,38.24
0.048,0.559,5.408,16.504,84.0,10.05,38.16
-0.065,0.663,5.407,16.503,90.0,10.05,38.05
-0.062,0.394,5.407,16.504,90.0,10.05,37.87
-0.065,0.331,5.407,16.508,90.0,10.05,37.74
-0.021,0.704,5.407,16.51,90.0,10.05,37.44
-0.068,0.477,5.407,16.505,90.0,10.05,37.18
0.146,0.601,5.404,16.503,90.0,10.05,37.08
-0.05,0.622,5.402,16.502,90.0,10.05,36.87
0.03,0.394,5.402,16.5,90.0,10.05,36.85
0.178,0.87,5.402,16.499,90.0,10.05,36.76
0.223,0.269,5.4,16.499,90.0,10.05,36.71
-0.031,0.787,5.399,16.499,90.0,10.05,36.63
-0.041,0.29,5.398,16.498,88.0,10.05,36.55
-0.049,0.331,5.397,16.504,88.0,10.05,36.48
-0.032,0.601,5.397,16.51,88.0,10.05,36.41
-0.038,0.394,5.394,16.51,88.0,10.05,36.25
-0.075,0.414,5.394,16.505,88.0,10.05,36.28
0.145,0.456,5.394,16.5,88.0,10.05,36.3
-0.011,0.414,5.392,16.498,88.0,10.05,36.32
0.089,0.684,5.393,16.495,88.0,10.05,36.3
0.224,0.269,5.392,16.497,88.0,10.05,36.33
-0.024,0.249,5.392,16.498,88.0,10.05,36.45
-0.096,0.497,5.391,16.503,90.0,10.05,36.69
-0.101,0.601,5.39,16.508,90.0,10.05,36.82
-0.097,0.767,5.39,16.51,90.0,10.05,37.05
-0.098,0.394,5.39,16.515,90.0,10.05,37.1
-0.123,0.269,5.388,16.52,90.0,10.05,37.25
0.065,0.725,5.387,16.526,90.0,10.05,37.53
-0.061,0.29,5.387,16.532,90.0,10.05,37.79
0.049,0.58,5.386,16.537,90.0,10.05,37.97
0.177,0.725,5.387,16.545,90.0,10.05,38.16
-0.055,0.373,5.386,16.552,90.0,10.05,38.35
-0.115,0.684,5.385,16.56,93.0,10.05,38.55
-0.104,0.373,5.385,16.568,93.0,10.05,38.68
-0.073,0.663,5.382,16.581,93.0,10.05,38.81
-0.115,0.394,5.382,16.594,93.0,10.05,38.81
0.108,0.58,5.382,16.611,93.0,10.05,38.93
-0.096,0.29,5.381,16.634,93.0,10.05,39.03
-0.005,0.704,5.38,16.66,93.0,10.04,39.08
0.148,0.29,5.38,16.688,93.0,10.05,39.0
0.192,0.497,5.38,16.711,93.0,10.05,38.95
-0.042,0.497,5.38,16.737,93.0,10.05,38.87
-0.05,0.497,5.377,16.764,95.0,10.05,38.72
-0.045,0.539,5.377,16.785,95.0,10.05,38.56
-0.041,0.29,5.377,16.803,95.0,10.05,38.36
-0.03,0.704,5.376,16.825,95.0,10.05,38.09
-0.085,0.394,5.375,16.845,95.0,10.05,37.97
0.171,0.642,5.375,16.864,95.0,10.05,37.91
0.005,0.207,5.375,16.88,95.0,10.05,37.84
0.113,0.58,5.375,16.894,95.0,10.05,37.71
0.28,0.186,5.373,16.904,95.0,10.05,37.6
0.035,0.767,5.372,16.91,95.0,10.05,37.45
-0.034,0.311,5.372,16.915,89.0,10.05,37.29
-0.023,0.58,5.372,16.915,89.0,10.05,37.16
-0.031,0.477,5.37,16.913,89.0,10.05,37.02
0.001,0.912,5.37,16.91,89.0,10.05,36.76
-0.076,0.394,5.37,16.908,89.0,10.05,36.66
0.201,0.767,5.37,16.903,89.0,10.05,36.61
0.002,0.269,5.37,16.898,89.0,10.05,36.62
0.09,0.684,5.37,16.895,89.0,10.05,36.53
0.272,0.477,5.368,16.89,89.0,10.05,36.52
0.107,0.331,5.367,16.885,89.0,10.05,36.49
-0.029,0.663,5.367,16.88,90.0,10.05,36.5
-0.018,0.228,5.367,16.877,90.0,10.05,36.46
-0.031,0.207,5.365,16.873,90.0,10.05,36.42
-0.03,0.725,5.365,16.87,90.0,10.05,36.29
0.002,0.269,5.365,16.869,90.0,10.05,36.22
-0.077,0.539,5.363,16.869,90.0,10.05,36.33
0.179,0.352,5.362,16.869,90.0,10.05,36.53
-0.017,0.228,5.362,16.873,90.0,10.05,36.66
0.069,0.352,5.361,16.878,90.0,10.05,36.85
0.238,0.539,5.36,16.883,90.0,10.05,37.01
0.088,0.29,5.36,16.89,90.0,10.05,37.15
-0.057,0.228,5.358,16.901,84.0,10.05,37.35
-0.054,0.684,5.357,16.913,84.0,10.05,37.53
-0.078,0.704,5.357,16.928,84.0,10.05,37.67
-0.101,0.394,5.357,16.942,84.0,10.05,37.7
-0.079,0.352,5.356,16.961,84.0,10.05,37.85
-0.08,0.58,5.355,16.982,84.0,10.05,38.04
-0.057,0.311,5.355,17.006,84.0,10.05,38.27
0.054,0.539,5.355,17.03,84.0,10.05,38.38
-0.016,0.829,5.355,17.052,84.0,10.05,38.52
0.105,0.249,5.352,17.073,84.0,10.05,38.62
0.225,0.642,5.352,17.094,84.0,10.05,38.69
-0.008,0.311,5.352,17.113,84.0,10.05,38.77
-0.059,0.829,5.35,17.131,80.0,10.05,38.85
-0.047,0.559,5.35,17.144,80.0,10.05,38.77
-0.067,0.373,5.35,17.152,80.0,10.06,38.62
-0.079,0.331,5.35,17.16,80.0,10.06,38.42
-0.068,0.704,5.348,17.164,80.0,10.06,38.33
-0.025,0.352,5.347,17.168,80.0,10.06,38.25
-0.095,0.684,5.347,17.165,80.0,10.06,38.18
0.17,0.331,5.347,17.161,80.0,10.06,38.04
-0.015,0.663,5.347,17.155,80.0,10.05,37.95
0.085,0.249,5.347,17.146,80.0,10.05,37.85
0.27,0.663,5.347,17.137,80.0,10.05,37.72
0.097,0.207,5.347,17.124,80.0,10.05,37.58
-0.039,0.684,5.345,17.113,75.0,10.05,37.45
-0.029,0.642,5.345,17.099,75.0,10.05,37.24
-0.046,0.352,5.343,17.088,75.0,10.05,37.04
-0.061,0.684,5.342,17.078,75.0,10.05,36.74
-0.056,0.663,5.342,17.073,75.0,10.05,36.55
-0.015,0.331,5.342,17.073,75.0,10.05,36.49
-0.09,0.684,5.342,17.082,75.0,10.05,36.53
0.168,0.373,5.342,17.102,75.0,10.06,36.53
-0.018,0.704,5.34,17.135,75.0,10.06,36.52
0.076,0.767,5.34,17.181,75.0,10.06,36.58
0.258,0.311,5.34,17.241,75.0,10.05,36.59
0.094,0.559,5.338,17.314,75.0,10.05,36.57
-0.062,0.435,5.338,17.401,76.0,10.05,36.6
-0.058,0.539,5.337,17.5,76.0,10.05,36.64
-0.074,0.311,5.337,17.606,76.0,10.05,36.74
-0.095,0.249,5.337,17.726,76.0,10.05,36.72
-0.098,0.186,5.337,17.851,76.0,10.05,36.76
-0.051,0.622,5.335,17.981,76.0,10.05,36.98
-0.12,0.29,5.335,18.113,76.0,10.06,37.25
0.135,0.249,5.333,18.247,76.0,10.06,37.42
-0.089,0.29,5.332,18.381,76.0,10.05,37.7
0.014,0.249,5.332,18.509,76.0,10.06,37.9
0.188,0.249,5.332,18.628,76.0,10.06,38.06
0.08,0.269,5.332,18.74,76.0,10.05,38.26
-0.105,0.684,5.332,18.857,77.0,10.05,38.49
-0.092,0.352,5.332,18.955,77.0,10.06,38.65
-0.097,0.622,5.332,19.045,77.0,10.06,38.76
-0.11,0.249,5.331,19.119,77.0,10.05,38.76
-0.055,0.559,5.332,19.188,77.0,10.05,38.82
-0.111,0.311,5.332,19.258,77.0,10.05,38.91
0.162,0.663,5.333,19.325,77.0,10.05,38.97
-0.116,0.249,5.335,19.392,77.0,10.05,38.88
0.025,0.207,5.336,19.459,77.0,10.05,38.75
0.206,0.207,5.337,19.527,77.0,10.06,38.62
0.15,0.249,5.34,19.588,77.0,10.05,38.48
-0.068,0.539,5.341,19.643,82.0,10.05,38.34
-0.06,0.704,5.345,19.691,82.0,10.06,38.18
-0.061,0.414,5.348,19.724,82.0,10.06,38.04
-0.064,0.663,5.352,19.754,82.0,10.06,37.8
-0.045,0.684,5.356,19.787,82.0,10.05,37.57
-0.014,0.249,5.363,19.817,82.0,10.05,37.84
-0.09,0.642,5.373,19.849,82.0,10.05,37.95
0.17,0.352,5.378,19.887,82.0,10.05,37.34
0.0,0.642,5.386,19.92,82.0,10.05,36.89
0.094,0.435,5.392,19.934,82.0,10.05,36.7
0.277,0.58,5.398,19.942,82.0,10.05,36.56
0.071,0.249,5.406,19.942,82.0,10.05,36.51
-0.043,0.29,5.416,19.925,80.0,10.05,36.63
-0.035,0.684,5.425,19.903,80.0,10.05,36.62
-0.053,0.166,5.433,19.878,80.0,10.05,36.59
-0.058,0.186,5.441,19.859,80.0,10.05,36.4
-0.019,0.601,5.449,19.834,80.0,10.05,36.26
-0.095,0.477,5.456,19.813,80.0,10.05,36.29
0.155,0.249,5.464,19.793,80.0,10.05,36.46
-0.039,0.186,5.474,19.777,80.0,10.05,36.64
0.047,0.249,5.481,19.764,80.0,10.05,36.73
0.223,0.207,5.488,19.757,80.0,10.05,36.9
0.076,0.249,5.495,19.756,80.0,10.05,37.06
-0.08,0.269,5.503,19.75,83.0,10.05,37.29
-0.076,0.269,5.511,19.748,83.0,10.05,37.52
-0.092,0.207,5.517,19.762,83.0,10.05,37.73
-0.067,0.166,5.525,19.795,83.0,10.05,37.77
-0.098,0.269,5.53,19.842,83.0,10.05,37.89
0.054,0.331,5.536,19.895,83.0,10.05,38.07
-0.054,0.186,5.542,19.954,83.0,10.05,38.27
-0.014,0.269,5.548,20.014,83.0,10.05,38.36
0.124,0.186,5.556,20.074,83.0,10.05,38.44
0.205,0.269,5.563,20.133,83.0,10.05,38.51
-0.05,0.311,5.572,20.199,83.0,10.05,38.53
-0.069,0.186,5.578,20.256,88.0,10.05,38.5
-0.068,0.311,5.585,20.304,88.0,10.05,38.39
-0.077,0.352,5.594,20.347,88.0,10.05,38.23
-0.036,0.29,5.604,20.361,88.0,10.05,38.01
-0.112,0.29,5.613,20.36,88.0,10.05,37.9
0.142,0.207,5.623,20.356,88.0,10.05,37.82
-0.046,0.394,5.63,20.346,88.0,10.05,37.75
0.056,0.311,5.637,20.332,88.0,10.05,37.61
0.239,0.311,5.645,20.303,88.0,10.05,37.47
0.08,0.311,5.653,20.27,88.0,10.05,37.34
-0.054,0.29,5.66,20.226,88.0,10.05,37.22
-0.046,0.29,5.667,20.18,88.0,10.05,37.11
-0.059,0.269,5.674,20.125,88.0,10.05,37.01
-0.023,0.249,5.681,20.064,88.0,10.05,36.8
-0.074,0.269,5.689,20.01,88.0,10.05,36.65
0.128,0.29,5.697,19.964,88.0,10.05,36.6
-0.052,0.249,5.707,19.918,88.0,10.05,36.63
0.014,0.228,5.717,19.876,88.0,10.05,36.59
0.156,0.331,5.727,19.842,88.0,10.05,36.58
0.211,0.249,5.737,19.826,88.0,10.05,36.53
-0.041,0.331,5.747,19.805,88.0,10.05,36.5
-0.048,0.269,5.757,19.804,89.0,10.05,36.5
-0.056,0.269,5.766,19.797,89.0,10.05,36.5
-0.074,0.29,5.773,19.785,89.0,10.05,36.44
-0.022,0.228,5.786,19.774,89.0,10.05,36.28
-0.086,0.207,5.799,19.756,89.0,10.05,36.26
0.168,0.331,5.812,19.729,89.0,10.05,36.32
-0.106,0.29,5.822,19.697,89.0,10.05,36.36
0.012,0.207,5.832,19.662,89.0,10.05,36.4
0.157,0.249,5.841,19.627,89.0,10.05,36.48
0.152,0.269,5.85,19.588,89.0,10.05,36.61
-0.069,0.228,5.858,19.543,85.0,10.05,36.77
-0.076,0.269,5.866,19.497,85.0,10.05,36.98
-0.098,0.166,5.874,19.447,85.0,10.05,37.13
-0.118,0.331,5.881,19.397,85.0,10.05,37.16
-0.07,0.249,5.89,19.351,85.0,10.05,37.24
-0.136,0.228,5.896,19.299,85.0,10.05,37.45
0.123,0.228,5.905,19.242,85.0,10.05,37.69
-0.157,0.352,5.914,19.187,85.0,10.05,37.87
-0.029,0.207,5.92,19.136,85.0,10.05,38.0
0.119,0.58,5.925,19.086,84.0,10.05,38.16
0.085,0.269,5.931,19.037,84.0,10.05,38.28
-0.106,0.186,5.937,18.982,84.0,10.05,38.41
-0.101,0.29,5.943,18.923,84.0,10.05,38.54
-0.111,0.311,5.95,18.867,84.0,10.05,38.66
-0.092,0.269,5.955,18.819,84.0,10.05,38.66
-0.099,0.207,5.959,18.775,84.0,10.05,38.65
-0.049,0.269,5.961,18.736,84.0,10.05,38.72
0.028,0.311,5.965,18.703,84.0,10.05,38.75
-0.026,0.186,5.969,18.673,84.0,10.05,38.69
0.1,0.249,5.971,18.642,84.0,10.05,38.55
0.206,0.228,5.971,18.612,84.0,10.05,38.4
-0.031,0.29,5.971,18.596,84.0,10.05,38.23
-0.059,0.269,5.971,18.592,89.0,10.05,38.1
-0.056,0.249,5.972,18.592,89.0,10.05,37.94
-0.077,0.331,5.975,18.608,89.0,10.05,37.75
-0.023,0.207,5.975,18.628,89.0,10.05,37.42
-0.095,0.269,5.974,18.646,89.0,10.05,37.29
0.169,0.435,5.974,18.654,89.0,10.05,37.2
-0.088,0.269,5.974,18.654,89.0,10.05,37.09
0.027,0.29,5.974,18.653,89.0,10.05,36.97
0.189,0.228,5.974,18.652,89.0,10.05,36.87
0.137,0.311,5.974,18.641,89.0,10.05,36.78
-0.059,0.331,5.974,18.635,88.0,10.05,36.68
-0.05,0.186,5.976,18.629,88.0,10.05,36.62
-0.064,0.394,5.98,18.62,88.0,10.05,36.56
-0.046,0.249,5.979,18.618,88.0,10.05,36.42
-0.064,0.29,5.979,18.605,88.0,10.05,36.25
-0.047,0.269,5.977,18.581,88.0,10.05,36.26
0.087,0.186,5.976,18.552,88.0,10.06,36.33
-0.014,0.249,5.975,18.531,88.0,10.06,36.36
0.102,0.166,5.974,18.511,88.0,10.06,36.35
0.22,0.269,5.971,18.488,88.0,10.05,36.33
-0.029,0.249,5.97,18.462,88.0,10.05,36.3
-0.074,0.186,5.967,18.435,88.0,10.05,36.3
-0.076,0.166,5.965,18.405,88.0,10.05,36.28
-0.096,0.373,5.962,18.374,88.0,10.06,36.38
-0.048,0.166,5.959,18.353,88.0,10.06,36.25
-0.128,0.207,5.957,18.332,88.0,10.06,36.31
0.11,0.207,5.954,18.307,88.0,10.05,36.7
-0.131,0.249,5.954,18.306,88.0,10.05,36.72
-0.02,0.228,5.952,18.305,88.0,10.05,36.93
0.13,0.186,5.95,18.312,88.0,10.05,37.17
0.06,0.249,5.949,18.329,88.0,10.06,37.33
-0.126,0.186,5.946,18.35,88.0,10.06,37.52
-0.121,0.311,5.944,18.377,88.0,10.05,37.72
-0.142,0.249,5.941,18.409,88.0,10.05,37.9
-0.117,0.186,5.937,18.446,88.0,10.05,37.93
-0.154,0.29,5.935,18.485,88.0,10.06,38.02
0.055,0.186,5.932,18.521,88.0,10.06,38.22
-0.149,0.249,5.929,18.556,88.0,10.07,38.41
-0.053,0.269,5.927,18.589,88.0,10.07,38.5
0.088,0.145,5.924,18.619,90.0,10.07,38.58
0.14,0.249,5.92,18.644,90.0,10.06,38.63
-0.082,0.228,5.918,18.664,90.0,10.07,38.61
-0.084,0.269,5.914,18.68,90.0,10.07,38.51
-0.081,0.228,5.912,18.691,90.0,10.07,38.39
-0.102,0.166,5.909,18.698,90.0,10.07,38.22
-0.044,0.331,5.905,18.699,90.0,10.06,37.93
-0.115,0.269,5.903,18.698,90.0,10.04,37.77
0.145,0.269,5.9,18.689,90.0,10.04,37.66
-0.093,0.269,5.898,18.675,90.0,10.02,37.52
0.022,0.186,5.895,18.657,90.0,10.05,37.32
0.185,0.269,5.892,18.637,90.0,10.06,37.21
0.119,0.207,5.889,18.613,90.0,10.06,37.04
-0.07,0.435,5.887,18.587,86.0,10.07,36.9
-0.062,0.207,5.885,18.558,86.0,10.07,36.83
-0.076,0.331,5.883,18.53,86.0,10.1,36.73
-0.095,0.352,5.88,18.501,86.0,10.1,36.57
-0.043,0.269,5.878,18.475,86.0,10.11,36.49
-0.103,0.331,5.875,18.447,86.0,10.11,36.45
0.15,0.29,5.873,18.424,86.0,10.12,36.51
-0.119,0.207,5.87,18.399,86.0,10.12,36.59
0.001,0.269,5.868,18.372,86.0,10.11,36.63
0.15,0.269,5.867,18.346,86.0,10.1,36.59
0.147,0.186,5.863,18.317,86.0,10.1,36.53
-0.072,0.311,5.86,18.292,83.0,10.1,36.63
-0.071,0.311,5.858,18.269,83.0,10.11,36.68
-0.098,1.14,5.854,18.249,83.0,10.11,36.61
-0.107,1.14,5.852,18.229,83.0,10.11,36.48
-0.077,0.477,5.85,18.21,83.0,10.11,36.42
-0.089,0.642,5.847,18.183,83.0,10.11,36.42
-0.066,0.725,5.844,18.162,83.0,10.11,36.34
0.027,1.885,5.839,18.141,83.0,10.1,36.51
-0.042,0.58,5.839,18.138,83.0,10.1,36.52
0.069,1.554,5.837,18.128,83.0,10.1,36.72
0.177,0.684,5.834,18.118,83.0,10.08,36.98
-0.066,1.16,5.833,18.111,83.0,10.1,37.21
-0.117,0.456,5.831,18.106,81.0,10.1,37.54
-0.115,1.16,5.828,18.101,81.0,10.08,37.94
-0.142,1.119,5.826,18.096,81.0,10.08,38.25
-0.099,0.891,5.822,18.091,81.0,10.08,38.37
-0.151,1.16,5.82,18.085,81.0,10.1,38.57
0.104,1.14,5.818,18.079,81.0,10.08,38.89
-0.195,0.414,5.816,18.074,81.0,10.06,39.23
-0.049,1.285,5.815,18.069,81.0,10.04,39.43
0.105,0.932,5.812,18.064,87.0,10.04,39.6
0.105,1.243,5.811,18.059,87.0,10.04,39.82
-0.116,0.849,5.808,18.054,87.0,10.04,39.97
-0.109,1.14,5.806,18.049,87.0,10.05,39.98
-0.108,1.202,5.805,18.046,87.0,10.05,40.03
-0.124,0.559,5.803,18.041,87.0,10.06,39.93
-0.07,1.927,5.801,18.036,87.0,10.06,39.71
-0.121,1.264,5.8,18.034,87.0,10.06,39.59
0.142,0.373,5.797,18.029,87.0,10.07,39.52
-0.141,0.829,5.797,18.024,87.0,10.06,39.45
0.0,1.222,5.795,18.019,87.0,10.05,39.38
0.164,0.849,5.792,18.014,87.0,10.06,39.25
0.158,1.202,5.791,18.008,87.0,10.06,39.06
-0.073,1.367,5.79,17.999,87.0,10.05,38.92
-0.072,0.891,5.787,17.994,84.0,10.05,38.78
-0.077,1.347,5.786,17.992,84.0,10.04,38.7
-0.091,1.222,5.785,17.987,84.0,10.04,38.57
-0.048,0.58,5.782,17.983,84.0,10.05,38.46
-0.078,1.388,5.781,17.977,84.0,10.05,38.6
0.074,0.787,5.78,17.972,84.0,10.06,38.68
-0.025,0.642,5.777,17.971,84.0,10.06,38.5
-0.002,1.036,5.775,17.968,84.0,10.07,38.09
0.144,0.477,5.773,17.971,84.0,10.07,37.7
0.232,0.166,5.772,17.977,84.0,10.07,37.39
-0.037,0.186,5.77,17.985,84.0,10.08,37.03
-0.054,0.228,5.768,17.999,82.0,10.1,36.74
-0.059,0.829,5.767,18.015,82.0,10.1,36.72
-0.074,0.787,5.765,18.035,82.0,10.1,36.84
-0.025,0.166,5.763,18.061,82.0,10.1,36.84
-0.072,0.622,5.761,18.086,82.0,10.1,36.54
0.154,1.057,5.76,18.107,82.0,10.1,36.23
-0.08,0.559,5.757,18.131,82.0,10.1,36.18
0.019,0.29,5.757,18.152,82.0,10.1,36.3
0.163,0.207,5.756,18.171,82.0,10.1,36.53
0.189,0.642,5.755,18.189,82.0,10.1,36.78
